P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: Refrig-40
10;134;1.274532418861640000;0.0157358317595505000;0.206534365697237000;0.00254994693197365000;2.179543812131370000;;;
10;135;1.275078050330970000;0.0152415883088876000;0.206125743843010000;0.00246391483776456000;2.108554537970300000;;;
10;136;1.275663310300270000;0.0147720501445803000;0.205716637492403000;0.00238217753859906000;2.041075631017960000;;;
10;137;1.276263799962060000;0.0143253796341803000;0.205307044339368000;0.00230446193946766000;1.976885372226170000;;;
10;138;1.276854398456670000;0.0138998511983326000;0.204896962058585000;0.00223051061033047000;1.915774440481890000;;;
10;139;1.277545862048100000;0.0134953337725635000;0.204486388305223000;0.00216008845091552000;1.857551717196280000;;;
10;140;1.278240982064780000;0.0131095238523806000;0.204075320714709000;0.00209297802380749000;1.802040377118010000;;;
10;141;1.278950631548670000;0.0127414207196787000;0.203663756902491000;0.00202898028120349000;1.749078600312770000;;;
10;142;1.279667348262350000;0.0123898861276494000;0.203251694463792000;0.00196790623209829000;1.698512470244050000;;;
10;143;1.280383429774280000;0.0120538783959956000;0.202839130973366000;0.00190958283420882000;1.650201112242360000;;;
10;144;1.281203760066230000;0.0117334886344645000;0.202426063985250000;0.00185385338001781000;1.604017106238380000;;;
10;145;1.281999284199480000;0.0114266182451217000;0.202012491032507000;0.00180056232809514000;1.559833427666800000;;;
10;146;1.282828042676130000;0.0111330530234581000;0.201598409626971000;0.00174957648972172000;1.517541825277980000;;;
10;147;1.283605808424330000;0.0108513024067511000;0.201183817258982000;0.00170076079906619000;1.477031893765920000;;;
10;148;1.284506433236960000;0.0105821949452881000;0.200768711397124000;0.00165400000182539000;1.438209918161420000;;;
10;149;1.285417122243080000;0.0103240982022864000;0.200353089487949000;0.00160917801327833000;1.400981005381870000;;;
10;150;1.286319806670860000;0.0100762919826615000;0.199936948955708000;0.00156619144426787000;1.365260866492600000;;;
10;151;1.287235194663610000;0.0098383934536192600;0.199520287202067000;0.00152494205846044000;1.330969298738010000;;;
10;152;1.288184456391670000;0.0096100427593000300;0.199103101605825000;0.00148533799678101000;1.298031280248200000;;;
10;153;1.289179294439170000;0.0093908291873304500;0.198685389522627000;0.00144729329975540000;1.266376583757520000;;;
10;154;1.290161746426660000;0.0091798610091630400;0.198267148284666000;0.00141072611165023000;1.235938232611440000;;;
10;155;1.291192967573400000;0.0089771600849579800;0.197848375200390000;0.00137556243050229000;1.206655810044210000;;;
10;156;1.292173899823420000;0.0087816452220090600;0.197429067554197000;0.00134173274046933000;1.178472542079110000;;;
10;157;1.293267261981410000;0.0085940351291318500;0.197009222606123000;0.00130916805026517000;1.151331835996320000;;;
10;158;1.294363659574950000;0.0084132386607933400;0.196588837591537000;0.00127780844005515000;1.125184806832760000;;;
10;159;1.295443616748420000;0.0082387900497851500;0.196167909720814000;0.00124759287227926000;1.099981342275730000;;;
10;160;1.296559494943750000;0.0080707313121168200;0.195746436179016000;0.00121846849131578000;1.075678304053920000;;;
10;161;1.297712868299050000;0.0079087620025677400;0.195324414125559000;0.00119038220421965000;1.052232129894360000;;;
10;162;1.298853101617410000;0.0077522945215035800;0.194901840693884000;0.00116328510896317000;1.029602749609770000;;;
10;163;1.300064894116790000;0.0076015735831442300;0.194478712991109000;0.00113713111849038000;1.007752387664810000;;;
10;164;1.301265885960400000;0.0074558609624373800;0.194055028097686000;0.00111187676874383000;0.986645407144066000;;;
