P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: Refrig-40
10;207;0.69729850159675500;0.0006925632861652330;0.006954009081082180;0.00000690678578856645;23.4589608410434000;;;
10;213.8;0.70657633966357300;0.0006952020453103890;0.007268664753798350;0.00000715165555348507;25.0956560786824000;;;
10;220.6;0.71587243400988300;0.0006978771648844200;0.007589626717063340;0.00000739884220176871;26.7955747000559000;;;
10;227.4;0.72518372529728100;0.0007004850904876700;0.007916803020530930;0.00000764716896802436;28.5551040018353000;;;
10;234.2;0.73450736226095600;0.0007029652693173620;0.008250096673783620;0.00000789581116291128;30.3714558706603000;;;
10;241;0.74384070215394900;0.0007052871061908980;0.008589406178204950;0.00000814421341798341;32.2425374671986000;;;
10;247.8;0.75318132940363800;0.0007074402834444480;0.008934626041712510;0.00000839202212357538;34.1668277459796000;;;
10;254.6;0.76252693347212300;0.0007094281874253820;0.009285647274943440;0.00000863903899805710;36.1432966908613000;;;
10;261.4;0.77187534329563500;0.0007112625134635440;0.009642357867603390;0.00000888517524519474;38.1712956884783000;;;
10;268.2;0.78122448388974900;0.0007129602935867400;0.010004643243836500;0.00000913042733740397;40.2505122821339000;;;
10;275;0.79057238738825400;0.0007145408049664480;0.010372386695639900;0.00000937484493154451;42.3808730061051000;;;
10;281.8;0.79991718738430200;0.0007160240841935570;0.010745469793524300;0.00000961851462811656;44.5624979837396000;;;
10;288.6;0.80925705004389800;0.0007174304370593410;0.011123772773811000;0.00000986155531475582;46.7956995453174000;;;
10;295.4;0.81859026133869800;0.0007187782421586250;0.011507174902143000;0.00001010408667072080;49.0808473335672000;;;
10;302.2;0.82791513649792900;0.0007200852911336740;0.011895554812975000;0.00001034624646063480;51.4184546662959000;;;
10;309;0.83723005524069600;0.0007213666336478180;0.012288790824988500;0.00001058815747659180;53.8090206611059000;;;
10;315.8;0.84653341920012400;0.0007226364354301420;0.012686761232550600;0.00001082995154864210;56.2531465273851000;;;
10;322.6;0.85582373205093700;0.0007239062523506380;0.013089344573492600;0.00001107174061791410;58.7513871206419000;;;
10;329.4;0.86509947957788200;0.0007251862582825530;0.013496419873635500;0.00001131363324036180;61.3043291962072000;;;
10;336.2;0.87435922170317200;0.0007264848440248840;0.013907866868619600;0.00001155572474330010;63.9125350556554000;;;
10;343;0.88360158730469500;0.0007278109161432050;0.014323566203711700;0.00001179813163640960;66.5767292974869000;;;
10;349.8;0.89282518806365900;0.0007291678664457460;0.014743399612369300;0.00001204089376423580;69.2972475613388000;;;
10;356.6;0.90202867356049300;0.0007305594431709890;0.015167250074420700;0.00001228406379263600;72.0745185707166000;;;
10;363.4;0.91121072697304500;0.0007319885972517530;0.015595001954797200;0.00001252768790700160;74.9089559065971000;;;
10;370.2;0.92037009079457300;0.0007334576631029010;0.016026541123803500;0.00001277180725216670;77.8009631426201000;;;
10;377;0.92950553581251000;0.0007349677105097830;0.016461755059959000;0.00001301644579966370;80.7508557486330000;;;
10;383.8;0.93861577875899100;0.0007365190123969020;0.016900532936466500;0.00001326161791548550;83.7588992583113000;;;
10;390.6;0.94769968734613400;0.0007381116435164130;0.017342765692386600;0.00001350733513922980;86.8253474605176000;;;
10;397.4;0.95675606536658500;0.0007397446774934670;0.017788346089595400;0.00001375359385482240;89.9503601803416000;;;
10;404.2;0.96578378476591000;0.0007414171863650480;0.018237168756604600;0.00001400039072934290;93.1340974868965000;;;
10;411;0.97478170371867200;0.0007431273436899840;0.018689130220304800;0.00001424770658241610;96.3766107402882000;;;
10;417.8;0.98373418886896800;0.0007448624725698220;0.019144128926671000;0.00001449552467410990;99.6779595235438000;;;
10;424.6;0.99266996525682700;0.0007466430369459180;0.019602065251359400;0.00001474381822955670;103.0381272881750000;;;
10;431.4;1.00157268623734000;0.0007484554062104510;0.020062841501523500;0.00001499256358734240;106.4571066871320000;;;
10;438.2;1.01044137135086000;0.0007502969225780770;0.020526361909339900;0.00001524172169604670;109.9347680313570000;;;
10;445;1.01927498334554000;0.0007521651529590920;0.020992532618314800;0.00001549125777229110;113.4709953769410000;;;
10;451.8;1.02807254980312000;0.0007540576792267560;0.021461261663301500;0.00001574113535684460;117.0656447147050000;;;
10;458.6;1.03683312765032000;0.0007559718727642810;0.021932458944988700;0.00001599131202582550;120.7185106565320000;;;
10;465.4;1.04555575144717000;0.0007579052918357800;0.022406036199624600;0.00001624174835369130;124.4293917606140000;;;
10;472.2;1.05423953883091000;0.0007598551773908850;0.022881906964688600;0.00001649239554700850;128.1979960885930000;;;
10;479;1.06288357112171000;0.0007618191431673730;0.023359986541179100;0.00001674321197045260;132.0240662688710000;;;
10;485.8;1.07148696900565000;0.0007637946460483230;0.023840191953132800;0.00001699415065352150;135.9072835966060000;;;
10;492.6;1.08004887612376000;0.0007657794546859860;0.024322441904947500;0.00001724516983476590;139.8473505524550000;;;
10;499.4;1.08856847789312000;0.0007677709759259860;0.024806656737030000;0.00001749621768334950;143.8438681119690000;;;
10;506.2;1.09704494990931000;0.0007697672106537280;0.025292758380250900;0.00001774725463137490;147.8965162108370000;;;
10;513;1.10547749575665000;0.0007717659401263670;0.025780670309637500;0.00001799823455020850;152.0049016406760000;;;
10;519.8;1.11386531710583000;0.0007737648805040120;0.026270317497702600;0.00001824910854772670;156.1685868692930000;;;
10;526.6;1.12220770301013000;0.0007757623636050840;0.026761626367759600;0.00001849983961906730;160.3872155102240000;;;
10;533.4;1.13050389437697000;0.0007777562287406580;0.027254524747542500;0.00001875037891439520;164.6603105740170000;;;
10;540.2;1.13875316515470000;0.0007797448773300300;0.027748941823411000;0.00001900068943843010;168.9874786104760000;;;
10;547;1.14695483851229000;0.0007817265215350610;0.028244808095386800;0.00001925072796455660;173.3682534728160000;;;
10;553.8;1.15510821905517000;0.0007836997714060170;0.028742055333238700;0.00001950046049609350;177.8022338006630000;;;
10;560.6;1.16321267673554000;0.0007856626993302640;0.029240616533803500;0.00001974983782028730;182.2888625573870000;;;
10;567.4;1.17126754115839000;0.0007876143197994220;0.029740425879701100;0.00001999883414904460;186.8277794854090000;;;
10;574.2;1.17927220175289000;0.0007895533277999820;0.030241418699580400;0.00002024741424088080;191.4185234010610000;;;
10;581;1.18722606709554000;0.0007914781420675910;0.030743531430007500;0.00002049553476899930;196.0605399860810000;;;
10;587.8;1.19512854861636000;0.0007933880221635610;0.031246701579086600;0.00002074317343826120;200.7534590541010000;;;
10;594.6;1.20297909306350000;0.0007952817395232400;0.031750867691886500;0.00002099029437417070;205.4967674877290000;;;
10;601.4;1.21077715538145000;0.0007971582761800910;0.032255969317726400;0.00002123686657247500;210.2899843219960000;;;
10;608.2;1.21852220409553000;0.0007990170203641180;0.032761946979359600;0.00002148286930577990;215.1327176153980000;;;
