P (kPa);T (K);cp (kJ/kg K);Pr; K  (W/m K);Mμ;Viscosidade cinemática ν (cSt)
10;341;1.38825617335886000000;0.00069999599111954400;0.01286973244802480000;0.00000648926422462934;17.23005015859880000000
10;346;1.40797022587353000000;0.00069975832809739100;0.01327139434429350000;0.00000659585589753669;17.77376439287920000000
10;351;1.42752721215452000000;0.00069953434879977500;0.01367796218374960000;0.00000670264236481787;18.32635504951870000000
10;356;1.44692801851351000000;0.00069932178495063100;0.01408935827228610000;0.00000680959595067241;18.88776834754900000000
10;361;1.46617337408934000000;0.00069911883619808700;0.01450550441590940000;0.00000691669317212608;19.45795792622670000000
10;366;1.48526407778120000000;0.00069892427774700800;0.01492632196460690000;0.00000702391511017814;20.03688673461400000000
10;371;1.50420096633987000000;0.00069873752187179500;0.01535173185776010000;0.00000713124862619446;20.62453145269120000000
10;376;1.52298487223032000000;0.00069855818978222900;0.01578165467075160000;0.00000723868261568739;21.22087265120160000000
10;381;1.54161665401663000000;0.00069838659441562200;0.01621601066245590000;0.00000734621310171564;21.82591032670280000000
10;386;1.56009712335564000000;0.00069822297092214200;0.01665471982333810000;0.00000745383590600733;22.43964324450850000000
10;391;1.57842706518025000000;0.00069806769541137500;0.01709770192391130000;0.00000756154886224814;23.06207564948870000000
10;396;1.59660746470620000000;0.00069792176099162800;0.01754487656333190000;0.00000766935606787646;23.69323079804950000000
10;401;1.61463904163220000000;0.00069778577946840600;0.01799616321793590000;0.00000777725947080656;24.33312586949570000000
10;406;1.63252274609552000000;0.00069766067167297000;0.01845148128953830000;0.00000788526399439664;24.98178777872390000000
10;411;1.65025934472737000000;0.00069754741082826800;0.01891075015333770000;0.00000799337682796774;25.63925148639410000000
10;416;1.66784977181441000000;0.00069744708295039900;0.01937388920528570000;0.00000810160647558269;26.30555735619970000000
10;421;1.68529480855571000000;0.00069736032041970900;0.01984081790879350000;0.00000820995772610425;26.98073488307500000000
10;426;1.70259540318259000000;0.00069728858094714200;0.02031145584066670000;0.00000831844500087033;27.66484635169980000000
10;431;1.71975236066987000000;0.00069723257482137800;0.02078572273616570000;0.00000842707549894860;28.35793201463910000000
