P (kPa);T (K);cp (kJ/kg K);Pr; K  (W/m K);Mμ;Viscosidade cinemática ν (cSt)
1280;596.8;2.452977783706520;0.00080352651025759800;0.0381716163531973000;0.000012503947603158;0.31615508680721
1280;598.2;2.455600777399070;0.00080279185225315200;0.0383267277045029000;0.000012529880674370;0.31838609122713
1280;599.6;2.458273783155290;0.00080208428842706900;0.0384820971374746000;0.000012555918592629;0.32061807501801
1280;601;2.460967869668630;0.00080139414000161000;0.0386377204378659000;0.000012582058922247;0.32285116855458
1280;602.4;2.463713834186230;0.00080073106968755400;0.0387935935104392000;0.000012608296953002;0.32508543558560
1280;603.8;2.466488680260620;0.00080008752283706800;0.0389497123723928000;0.000012634632843298;0.32732105727264
1280;605.2;2.469282362150350;0.00079946001292684000;0.0391060731472517000;0.000012661063887645;0.32955813427513
1280;606.6;2.472124310132920;0.00079885768573665600;0.0392626720591813000;0.000012687585008761;0.33179669819131
1280;608;2.474977912071380;0.00079826881593218100;0.0394195054276913000;0.000012714199092007;0.33403698194585
1280;609.4;2.477869850492590;0.00079770169064704600;0.0395765696626965000;0.000012740901836982;0.33627902508849
1280;610.8;2.480791759688170;0.00079715346709745300;0.0397338612599058000;0.000012767692064764;0.33852294300020
1280;612.2;2.483728437795630;0.00079661905645072900;0.0398913767965137000;0.000012794567417509;0.34076881449357
1280;613.6;2.486689870702830;0.00079610151290285600;0.0400491129271713000;0.000012821526225434;0.34301673129109
1280;615;2.489679077727940;0.00079560157212310100;0.0402070663802139000;0.000012848565708215;0.34526675032690
1280;616.4;2.492685259210550;0.00079511585556126700;0.0403652339541264000;0.000012875687940053;0.34751905429746
1280;617.8;2.495715701240950;0.00079464632413849400;0.0405236125142287000;0.000012902887820609;0.34977362863673
1280;619.2;2.498759749567730;0.00079418951949226600;0.0406821989895647000;0.000012930165084098;0.35203058442645
1280;620.6;2.501827511833300;0.00079374849327345400;0.0408409903699794000;0.000012957517821127;0.35428998428264
1280;622;2.504913945347120;0.00079332169383516600;0.0409999837033716000;0.000012984947678219;0.35655198432879
1280;623.4;2.508018192195210;0.00079290850274169400;0.0411591760931084000;0.000013012449746827;0.35881655760436
1280;624.8;2.511133957504040;0.00079250542817975800;0.0413185646955914000;0.000013040000000000;0.36108382348619
1280;626.2;2.514265951834700;0.00079211825933279700;0.0414781467179627000;0.000013067669851953;0.36335381741652
1280;627.6;2.517409332973050;0.00079174094663860000;0.0416379194159422000;0.000013095385522984;0.36562663689286
1280;629;2.520566807973060;0.00079137566160264400;0.0417978800917861000;0.000013123169323104;0.36790231297112
1280;630.4;2.523739051610320;0.00079102129815803900;0.0419580260923598000;0.000013151000000000;0.37018093925058
