2.383;0.244;0.032;0.067;0.00635;0.1016;0.003175;0.0015244;1548.0;0.923
1.542;0.494;0.032;0.086;0.002489;0.1016;0.003175;0.0011684;2254.0;0.785
1.735;0.135;0.036;0.1;0.007645;0.1016;0.002822222;0.0010164;2069.0;0.896
1.495;0.184;0.036;0.111;0.00508;0.1016;0.002822222;0.9144;2360.0;0.881
1.209;0.528;0.036;0.107;0.001905;0.1016;0.002822222;0.9524;2830.0;0.857
1.423;0.134;0.04;0.121;0.00635;0.1016;0.00254;0.8382;2466.0;0.878
1.403;0.672;0.04;0.084;0.001905;0.1016;0.00254;0.0012094;2490.0;0.873
1.219;0.997;0.02;0.041;0.00129;5.08E-5;0.00254;0.0012372;3028.0;0.923
3.414;0.162;0.043;0.051;0.012319;0.1016;0.0023876;0.0019812;1115.0;0.862
2.266;0.711;0.012;0.077;0.0060198;0.1524;0.0127;0.00197612;1512.0;0.796
2.636;0.461;0.022;0.051;0.0089662;0.1016;0.0045212;0.00198374;1385.0;0.847
2.070;0.41;0.028;0.067;0.0077216;0.1016;0.003628571;0.0015113;1726.0;0.859
1.863;0.477;0.048;0.106;0.006477;0.1524;0.003175;0.0014351;1804.0;0.845
1.539;0.484;0.032;0.086;0.005207;0.1016;0.003175;0.0011811;2231.0;0.841
1.491;0.491;0.032;0.087;0.0051054;0.1016;0.003175;0.00116586;2290.0;0.843
