P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: p-Xylene
10.000000000000000000;344.000000000000000000;1.371230431510900000;0.000695151346258014;0.012581060352622300;0.000006378024320713;17.082581261800000000;;;
10.000000000000000000;348.000000000000000000;1.385807178786710000;0.000695023110830459;0.012883394304008600;0.000006461401646849;17.510228309063200000;;;
10.000000000000000000;352.000000000000000000;1.400318490307880000;0.000694902457061205;0.013188860663728700;0.000006544919419759;17.943482327598400000;;;
10.000000000000000000;356.000000000000000000;1.414764181048940000;0.000694788369768476;0.013497427796221700;0.000006628564661322;18.382320586461400000;;;
10.000000000000000000;360.000000000000000000;1.429144280262460000;0.000694680096426566;0.013809063667447900;0.000006712325559111;18.826721981734400000;;;
10.000000000000000000;364.000000000000000000;1.443458513453610000;0.000694577173589867;0.014123735860366000;0.000006796194309008;19.276675284471300000;;;
10.000000000000000000;368.000000000000000000;1.457706788780580000;0.000694479364555930;0.014441411590649900;0.000006880164393798;19.732171969698500000;;;
10.000000000000000000;372.000000000000000000;1.471889062141710000;0.000694386531794728;0.014762057722601500;0.000006964230068559;20.193204928032100000;;;
10.000000000000000000;376.000000000000000000;1.486005295528190000;0.000694298592069887;0.015085640785220100;0.000007048386159302;20.659767997803100000;;;
10.000000000000000000;380.000000000000000000;1.500055260240760000;0.000694215674653075;0.015412126988389900;0.000007132630656131;21.131863738311900000;;;
10.000000000000000000;384.000000000000000000;1.514039012665880000;0.000694138106366316;0.015741482239152100;0.000007216962430608;21.609497094622000000;;;
10.000000000000000000;388.000000000000000000;1.527956314693440000;0.000694066033409414;0.016073672158027900;0.000007301380130939;22.092672193778100000;;;
10.000000000000000000;392.000000000000000000;1.541807295625660000;0.000693999860524720;0.016408662095362500;0.000007385883591216;22.581396618170800000;;;
10.000000000000000000;396.000000000000000000;1.555591738282120000;0.000693939897659852;0.016746417147661100;0.000007470473592545;23.075680854792700000;;;
10.000000000000000000;400.000000000000000000;1.569309596047890000;0.000693886752806625;0.017086902173891700;0.000007555153613299;23.575543906157300000;;;
10.000000000000000000;404.000000000000000000;1.582960971972940000;0.000693840900968929;0.017430081811727900;0.000007639925356554;24.080999618027600000;;;
10.000000000000000000;408.000000000000000000;1.596545612018130000;0.000693802702283875;0.017775920493710400;0.000007724791312746;24.592064557641400000;;;
10.000000000000000000;412.000000000000000000;1.610063608030880000;0.000693772624999997;0.018124382463304800;0.000007809753810565;25.108755086302200000;;;
10.000000000000000000;416.000000000000000000;1.623514818658220000;0.000693751336206970;0.018475431790835400;0.000007894818910545;25.631099974573200000;;;
10.000000000000000000;420.000000000000000000;1.636899344771830000;0.000693739277261034;0.018829032389277600;0.000007979989339591;26.159117829009900000;;;
10.000000000000000000;424.000000000000000000;1.650216971223430000;0.000693737001101280;0.019185148029890300;0.000008065270986804;26.692838065235900000;;;
10.000000000000000000;428.000000000000000000;1.663467838563580000;0.000693744773853633;0.019543742357672800;0.000008150665019100;27.232275063410600000;;;
10.000000000000000000;432.000000000000000000;1.676651874527090000;0.000693763350934300;0.019904778906632200;0.000008236179688623;27.777467246036400000;;;
10.000000000000000000;436.000000000000000000;1.689768980017170000;0.000693792915141347;0.020268221114846500;0.000008321816992910;28.328432783502600000;;;
10.000000000000000000;440.000000000000000000;1.702819225335370000;0.000693834070675714;0.020634032339311100;0.000008407583400181;28.885205456749000000;;;
10.000000000000000000;444.000000000000000000;1.715802612459150000;0.000693887317069159;0.021002175870558800;0.000008493484834220;29.447817973236400000;;;
10.000000000000000000;448.000000000000000000;1.728719126656350000;0.000693952927449016;0.021372614947040000;0.000008579524852268;30.016295506208600000;;;
10.000000000000000000;452.000000000000000000;1.741568715777780000;0.000694031355910462;0.021745312769257300;0.000008665709695643;30.590673151053200000;;;
10.000000000000000000;456.000000000000000000;1.754351434811580000;0.000694122798461880;0.022120232513641600;0.000008752042145219;31.170974463606100000;;;
10.000000000000000000;460.000000000000000000;1.767067218594700000;0.000694227735935258;0.022497337346166900;0.000008838529404004;31.757239237794100000;;;
10.000000000000000000;464.000000000000000000;1.779716191611530000;0.000694346271929111;0.022876590435692300;0.000008925173214887;32.349488383087000000;;;
10.000000000000000000;468.000000000000000000;1.792298213538950000;0.000694478844306075;0.023257954967028800;0.000009011981133727;32.947764279448600000;;;
10.000000000000000000;472.000000000000000000;1.804813416218130000;0.000694625633763022;0.023641394153723200;0.000009098956296259;33.552093957828600000;;;
10.000000000000000000;476.000000000000000000;1.817261821511210000;0.000694786842820573;0.024026871250556400;0.000009186102861694;34.162508648894500000;;;
10.000000000000000000;480.000000000000000000;1.829643423893990000;0.000694962766208871;0.024414349565750600;0.000009273426552860;34.779045969791500000;;;
10.000000000000000000;484.000000000000000000;1.841958211078390000;0.000695153398174744;0.024803792472883000;0.000009360929320460;35.401729990972600000;;;
10.000000000000000000;488.000000000000000000;1.854206318833550000;0.000695358940646292;0.025195163422504600;0.000009448615274866;36.030593262606300000;;;
10.000000000000000000;492.000000000000000000;1.866387669618400000;0.000695579525749558;0.025588425953459100;0.000009536488843727;36.665670070661400000;;;
10.000000000000000000;496.000000000000000000;1.878502400986430000;0.000695815253202865;0.025983543703904300;0.000009624553065222;37.306989870997800000;;;
10.000000000000000000;500.000000000000000000;1.890550468114650000;0.000696067127420502;0.026380480422031500;0.000009712824670398;37.954636007797700000;;;
10.000000000000000000;504.000000000000000000;1.902531958626020000;0.000696336623062470;0.026779199976485700;0.000009801326908278;38.608719603842900000;;;
