-5.10E-05;66.250549;-2.42E-02;1.44E-05;-3.13E-09;2.79E-10;3.19E-11;-8.61E-13;1.01E-14;-5.79E-17;1.31E-19;0
-7.65E-05;68.996718;-0.015276822;4.45E-05;3.24E-07;-9.55E-09;3.19E-10;-5.37E-12;5.15E-14;-2.61E-16;5.50E-19;0
7.88E-05;-0.04698885;77.569376;7.55E-04;-3.62E+00;-4.62E-06;0.05773998;8.65E-09;-0.00035076;3.25E-12;6.94E-07;0
-0.002597094;99.279743;0.12007259;8.04E-04;-1.17E-05;4.93E-07;-1.17E-08;1.67E-10;-1.52E-12;7.68E-15;-1.59E-17;0
1.5353958;162.37375;0.11646613;-8.65E-03;1.32E-04;5.77E-06;-3.04E-07;6.07E-09;-6.27E-11;3.31E-13;-7.06E-16;0
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
