P (kPa);T (K);Título;cp (kJ/kg K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt)
10;272;0;1.56056574853947;0.845435714441503;0.960207984467714
10;273;0;1.56442070612127;0.833706478534518;0.947799118880584
10;274;0;1.56830836116788;0.822222355421548;0.93564600804766
10;275;0;1.57216982727683;0.810976527107613;0.92374160202682
10;276;0;1.57600503533213;0.799962860303832;0.912079605291259
10;277;0;1.57989755298946;0.789174525466468;0.900652904308615
10;278;0;1.58369228283807;0.778605377406281;0.889455140685772
10;279;0;1.58762892452285;0.768249477868308;0.878480168876185
10;280;0;1.59144367355123;0.758101501024497;0.867722521301051
10;281;0;1.59532909728574;0.748155056339913;0.857175490097797
10;282;0;1.59916469558525;0.738405599935082;0.846834459876836
10;283;0;1.60305968974952;0.728847523507281;0.836693576119892
10;284;0;1.60688053729752;0.719475806007732;0.82674763699139
10;285;0;1.610810335587;0.710285208964327;0.81699117094815
10;286;0;1.61460469375444;0.701271789354665;0.807420177239988
10;287;0;1.61849650193989;0.692430609603038;0.798029493905617
10;288;0;1.62233860072285;0.683757259694959;0.788814547972673
10;289;0;1.626229782935;0.675247120783487;0.7797705079616
10;290;0;1.63010853214484;0.666896762249392;0.770893897486007
10;291;0;1.63396243721714;0.658701484667733;0.762179758951545
10;292;0;1.63785389289911;0.650657753965784;0.753624465497254
10;293;0;1.64168315638526;0.642761806912567;0.745224110807593
10;294;0;1.64567597242463;0.635009677707429;0.736974538542508
10;295;0;1.64953152477078;0.627398470408761;0.728872819280763
10;296;0;1.65342566354664;0.61992412719287;0.720914661354212
10;297;0;1.65727017808761;0.61258333542642;0.713096623942601
10;298;0;1.6611410215872;0.60537347897607;0.705416064602153
10;299;0;1.66503855809048;0.598290537711834;0.697868693183091
10;300;0;1.66891205373866;0.59133236051886;0.690452385088865
10;301;0;1.67279987851841;0.584495142464311;0.683163074732039
10;302;0;1.67670228992575;0.577776877958663;0.675998785829077
10;303;0;1.6806066660635;0.571173960293949;0.668955659430073
10;304;0;1.68446150426306;0.564684249653956;0.662031541186922
10;305;0;1.68842192227628;0.558305126779535;0.655223705849959
10;306;0;1.69225520900928;0.552033529511944;0.648528897250937
10;307;0;1.69611669143748;0.545867516404508;0.641945164369951
10;308;0;1.7000328342767;0.539804434043834;0.6354697105684
10;309;0;1.70391259908193;0.533841959817327;0.629100118042087
10;310;0;1.70786079514672;0.527978073616562;0.622834316378865
10;311;0;1.71177285058453;0.5222100970756;0.616669449793422
10;312;0;1.71564861110847;0.516536369614012;0.610603854297077
10;313;0;1.71954081547976;0.510954347353363;0.604634814247198
10;314;0;1.72347623331392;0.505462246524733;0.598760503590306
